,state,date,price
334,District of Columbia,2021-08-01,2066.691200262778
335,Florida,2021-08-01,1795.8474060665928
336,Georgia,2021-08-01,1415.9325557169022
337,Hawaii,2021-08-01,2125.493565572282
338,Idaho,2021-08-01,1418.2899917938755
339,Illinois,2021-08-01,1714.2554072653527
340,Indiana,2021-08-01,1316.6494037259235
341,Iowa,2021-08-01,1175.3188202573717
342,Kansas,2021-08-01,872.297029381424
343,Kentucky,2021-08-01,1025.3465595089685
344,Louisiana,2021-08-01,1315.0880825898887
345,Maryland,2021-08-01,1665.7264406960926
346,Massachusetts,2021-08-01,1759.2790557348176
347,Michigan,2021-08-01,1331.0617472650135
348,Minnesota,2021-08-01,1572.8006314104273
349,Mississippi,2021-08-01,1276.4531584566707
350,Missouri,2021-08-01,1213.159273708183
351,Nebraska,2021-08-01,1285.2508641650002
352,Nevada,2021-08-01,1486.6555819196217
353,New Mexico,2021-08-01,1269.5131022107907
354,New York,2021-08-01,1514.981652905328
355,North Carolina,2021-08-01,1399.9756310378336
356,Ohio,2021-08-01,1086.1351126384209
357,Oklahoma,2021-08-01,1168.1541129900845
358,Oregon,2021-08-01,1705.592322147501
359,Pennsylvania,2021-08-01,1293.444508809946
360,Rhode Island,2021-08-01,1648.4197963805314
361,South Carolina,2021-08-01,1383.7846566247174
362,Tennessee,2021-08-01,1439.7431794221036
363,Texas,2021-08-01,1466.8860582696132
364,United States,2021-08-01,1770.7080018389754
365,Utah,2021-08-01,1407.5787761482627
366,Virginia,2021-08-01,1390.7341581723642
367,Washington,2021-08-01,1697.7191438794168
368,Wisconsin,2021-08-01,1306.3873960603376
369,Alabama,2021-09-01,1114.8323943431642
370,Arizona,2021-09-01,1440.1842187688517
371,Arkansas,2021-09-01,950.0139359831932
372,California,2021-09-01,2374.8927683793922
373,Colorado,2021-09-01,1735.9543998455997
374,Connecticut,2021-09-01,1720.6682998758313
375,District of Columbia,2021-09-01,2076.7530364221984
376,Florida,2021-09-01,1794.3557060911783
377,Georgia,2021-09-01,1422.0789553798918
378,Hawaii,2021-09-01,2114.8172143963707
379,Idaho,2021-09-01,1438.4297539222728
380,Illinois,2021-09-01,1709.5309998584512
381,Indiana,2021-09-01,1323.4514188313976
382,Iowa,2021-09-01,1181.6044376084337
383,Kansas,2021-09-01,869.696340155411
384,Kentucky,2021-09-01,1033.1465736867458
385,Louisiana,2021-09-01,1303.42172185458
386,Maryland,2021-09-01,1666.7089095402223
387,Massachusetts,2021-09-01,1742.380965523524
388,Michigan,2021-09-01,1330.6278704744304
389,Minnesota,2021-09-01,1582.1813430772552
390,Mississippi,2021-09-01,1285.32530265153
391,Missouri,2021-09-01,1213.534232351434
392,Nebraska,2021-09-01,1291.574128167952
393,Nevada,2021-09-01,1496.5854159384
