,city,date,price,state
243,Boston,2021-02-01,2341.274016,Massachusetts
244,Boulder,2021-02-01,2041.526403,Colorado
245,Bradenton,2021-02-01,2154.085657,Florida
246,Buffalo,2021-02-01,1152.345318,New York
247,Charleston,2021-02-01,1554.827721,South Carolina
248,Charlotte,2021-02-01,1510.401459,North Carolina
249,Chattanooga,2021-02-01,1282.727606,Tennessee
250,Chicago,2021-02-01,1674.74384,Illinois
251,Cincinnati,2021-02-01,1310.434787,Ohio
252,Cleveland,2021-02-01,1144.843564,Ohio
253,Colorado Springs,2021-02-01,1570.066874,Colorado
254,Columbia,2021-02-01,1171.278764,South Carolina
255,Columbus,2021-02-01,1338.265724,Ohio
256,Dallas,2021-02-01,1554.736416,Texas
257,Dayton,2021-02-01,1027.064295,Ohio
258,Daytona Beach,2021-02-01,1477.677589,Florida
259,Denver,2021-02-01,1734.511361,Colorado
260,Des Moines,2021-02-01,1145.999336,Iowa
261,Detroit,2021-02-01,1309.615913,Michigan
262,Durham,2021-02-01,1407.178312,North Carolina
263,El Paso,2021-02-01,1181.873631,Texas
264,Fort Collins,2021-02-01,1559.638013,Colorado
265,Fort Lauderdale,2021-02-01,1924.352794,Florida
266,Fort Myers,2021-02-01,1911.324863,Florida
267,Fort Worth,2021-02-01,1554.736416,Texas
268,Fresno,2021-02-01,1576.245352,California
269,Gainesville,2021-02-01,1404.226664,Georgia
270,Grand Rapids,2021-02-01,1264.314624,Michigan
271,Greeley,2021-02-01,1579.933887,Colorado
272,Greensboro,2021-02-01,1248.776029,North Carolina
273,Greenville,2021-02-01,1294.837872,South Carolina
274,Harrisburg,2021-02-01,1151.555369,Pennsylvania
275,Hartford,2021-02-01,1392.206153,Connecticut
276,Honolulu,2021-02-01,2092.357144,Hawaii
277,Houston,2021-02-01,1473.08184,Texas
278,Indianapolis,2021-02-01,1274.111313,Indiana
279,Jackson,2021-02-01,1248.64964,Mississippi
280,Jacksonville,2021-02-01,1383.468654,Florida
281,Jefferson County,2021-02-01,1007.44176,Kentucky
282,Kansas City,2021-02-01,1208.189726,Missouri
283,Knoxville,2021-02-01,1367.825739,Tennessee
284,Lakeland,2021-02-01,1470.554998,Florida
285,Las Vegas,2021-02-01,1455.377541,Nevada
286,Little Rock,2021-02-01,925.9364637,Arkansas
287,Long Beach,2021-02-01,2571.266283,California
288,Los Angeles,2021-02-01,2571.266283,California
289,Louisville,2021-02-01,1007.44176,Kentucky
290,Madison,2021-02-01,1343.192353,Wisconsin
