,city,date,price,state
148,El Paso,2014-02-01,1039.303684,Texas
149,Fort Collins,2014-02-01,1171.707366,Colorado
150,Fort Lauderdale,2014-02-01,1559.340823,Florida
151,Fort Myers,2014-02-01,1310.233012,Florida
152,Fort Worth,2014-02-01,1202.253532,Texas
153,Fresno,2014-02-01,1126.351188,California
154,Gainesville,2014-02-01,967.6123422,Georgia
155,Grand Rapids,2014-02-01,838.2187969,Michigan
156,Greeley,2014-02-01,1147.165173,Colorado
157,Greensboro,2014-02-01,976.9609691,North Carolina
158,Greenville,2014-02-01,1020.174274,South Carolina
159,Harrisburg,2014-02-01,981.7261936,Pennsylvania
160,Hartford,2014-02-01,1145.394085,Connecticut
161,Honolulu,2014-02-01,1700.853494,Hawaii
162,Houston,2014-02-01,1253.818036,Texas
163,Indianapolis,2014-02-01,989.0441914,Indiana
164,Jackson,2014-02-01,1101.531584,Mississippi
165,Jacksonville,2014-02-01,1086.046768,Florida
166,Jefferson County,2014-02-01,781.1244427,Kentucky
167,Kansas City,2014-02-01,939.5977118,Missouri
168,Knoxville,2014-02-01,1037.252461,Tennessee
169,Lakeland,2014-02-01,1046.677935,Florida
170,Las Vegas,2014-02-01,1036.255002,Nevada
171,Little Rock,2014-02-01,810.7410369,Arkansas
172,Long Beach,2014-02-01,1885.27453,California
173,Los Angeles,2014-02-01,1885.27453,California
174,Louisville,2014-02-01,781.1244427,Kentucky
175,Madison,2014-02-01,1149.470729,Wisconsin
176,Melbourne,2014-02-01,1005.348504,Florida
177,Memphis,2014-02-01,1041.895007,Tennessee
178,Miami,2014-02-01,1559.340823,Florida
179,Milwaukee,2014-02-01,1026.394582,Wisconsin
180,Minneapolis,2014-02-01,1212.90825,Minnesota
181,Nashville,2014-02-01,1171.566007,Tennessee
182,New Haven,2014-02-01,1184.564884,Connecticut
183,New Orleans,2014-02-01,1193.341467,Louisiana
184,New York,2014-02-01,2352.189681,New York
185,North Port,2014-02-01,1645.204535,Florida
186,Ogden,2014-02-01,908.7030435,Utah
187,Oklahoma City,2014-02-01,963.9165031,Oklahoma
188,Omaha,2014-02-01,961.5056306,Nebraska
189,Orlando,2014-02-01,1195.571784,Florida
190,Philadelphia,2014-02-01,1349.128095,Pennsylvania
191,Phoenix,2014-02-01,1004.152969,Arizona
192,Pittsburgh,2014-02-01,1016.880621,Pennsylvania
193,Port St. Lucie,2014-02-01,1174.946537,Florida
194,Portland,2014-02-01,1167.703261,Oregon
195,Providence,2014-02-01,1166.966325,Rhode Island
196,Provo,2014-02-01,1003.842218,Utah
197,Raleigh,2014-02-01,1223.98921,North Carolina
198,Richmond,2014-02-01,1064.58413,Virginia
199,Riverside,2014-02-01,1505.524689,California
200,Rochester,2014-02-01,937.1529532,New York
201,Sacramento,2014-02-01,1250.18707,California
202,Salem,2014-02-01,985.7750865,North Carolina
203,Salt Lake City,2014-02-01,1051.285015,Utah
204,San Antonio,2014-02-01,1067.989229,Texas
205,San Diego,2014-02-01,1690.346039,California
206,San Francisco,2014-02-01,2233.7227,California
207,San Jose,2014-02-01,2122.205407,California
208,Sarasota,2014-02-01,1645.204535,Florida
209,Scranton,2014-02-01,741.1526161,Pennsylvania
210,Seattle,2014-02-01,1369.326878,Washington
211,Spokane,2014-02-01,913.1360246,Washington
212,Springfield,2014-02-01,1102.376608,Massachusetts
213,St. Louis,2014-02-01,959.5416427,Missouri
214,St. Paul,2014-02-01,1212.90825,Minnesota
215,Stamford,2014-02-01,1777.673989,Connecticut
216,Stockton,2014-02-01,1345.476164,California
217,Syracuse,2014-02-01,908.8311534,New York
218,Tampa,2014-02-01,1136.009186,Florida
219,Toledo,2014-02-01,745.0054907,Ohio
220,Tucson,2014-02-01,917.8356789,Arizona
221,Tulsa,2014-02-01,1001.867659,Oklahoma
222,United States,2014-02-01,1374.105849,United States
223,Ventura,2014-02-01,2075.076741,California
224,Virginia Beach,2014-02-01,1192.843163,Virginia
225,Washington,2014-02-01,1856.391308,District of Columbia
226,Wichita,2014-02-01,775.6679978,Kansas
227,Winston,2014-02-01,985.7750865,North Carolina
