,date,price,city,state
273,2014-03-01,1029.0,Greenville,South Carolina
274,2014-03-01,985.0,Harrisburg,Pennsylvania
275,2014-03-01,1145.0,Hartford,Connecticut
276,2014-03-01,1710.0,Honolulu,Hawaii
277,2014-03-01,1262.0,Houston,Texas
278,2014-03-01,992.0,Indianapolis,Indiana
279,2014-03-01,1093.0,Jackson,Mississippi
280,2014-03-01,1103.0,Jacksonville,Florida
281,2014-03-01,782.0,Jefferson County,Kentucky
282,2014-03-01,947.0,Kansas City,Missouri
283,2014-03-01,1035.0,Knoxville,Tennessee
284,2014-03-01,1054.0,Lakeland,Florida
285,2014-03-01,1040.0,Las Vegas,Nevada
286,2014-03-01,807.0,Little Rock,Arkansas
287,2014-03-01,1891.0,Long Beach,California
288,2014-03-01,1891.0,Los Angeles,California
289,2014-03-01,782.0,Louisville,Kentucky
290,2014-03-01,1147.0,Madison,Wisconsin
291,2014-03-01,1006.0,Melbourne,Florida
292,2014-03-01,1042.0,Memphis,Tennessee
293,2014-03-01,1559.0,Miami,Florida
294,2014-03-01,1033.0,Milwaukee,Wisconsin
295,2014-03-01,1219.0,Minneapolis,Minnesota
296,2014-03-01,1178.0,Nashville,Tennessee
297,2014-03-01,1181.0,New Haven,Connecticut
298,2014-03-01,1199.0,New Orleans,Louisiana
299,2014-03-01,2355.0,New York,New York
300,2014-03-01,1639.0,North Port,Florida
301,2014-03-01,905.0,Ogden,Utah
302,2014-03-01,966.0,Oklahoma City,Oklahoma
303,2014-03-01,966.0,Omaha,Nebraska
304,2014-03-01,1197.0,Orlando,Florida
305,2014-03-01,1356.0,Philadelphia,Pennsylvania
306,2014-03-01,1012.0,Phoenix,Arizona
307,2014-03-01,1055.0,Pittsburgh,Pennsylvania
308,2014-03-01,1166.0,Port St. Lucie,Florida
309,2014-03-01,1183.0,Portland,Oregon
310,2014-03-01,1188.0,Providence,Rhode Island
311,2014-03-01,1003.0,Provo,Utah
312,2014-03-01,1228.0,Raleigh,North Carolina
313,2014-03-01,1060.0,Richmond,Virginia
314,2014-03-01,1511.0,Riverside,California
315,2014-03-01,933.0,Rochester,New York
316,2014-03-01,1256.0,Sacramento,California
317,2014-03-01,986.0,Salem,North Carolina
318,2014-03-01,1055.0,Salt Lake City,Utah
319,2014-03-01,1069.0,San Antonio,Texas
320,2014-03-01,1695.0,San Diego,California
321,2014-03-01,2259.0,San Francisco,California
322,2014-03-01,2127.0,San Jose,California
323,2014-03-01,1639.0,Sarasota,Florida
324,2014-03-01,733.0,Scranton,Pennsylvania
325,2014-03-01,1381.0,Seattle,Washington
326,2014-03-01,927.0,Spokane,Washington
327,2014-03-01,1103.0,Springfield,Massachusetts
328,2014-03-01,962.0,St. Louis,Missouri
329,2014-03-01,1219.0,St. Paul,Minnesota
330,2014-03-01,1763.0,Stamford,Connecticut
331,2014-03-01,1350.0,Stockton,California
332,2014-03-01,892.0,Syracuse,New York
333,2014-03-01,1141.0,Tampa,Florida
