State,City,Walk Score,Transit Score,Bike Score,Population
CA,Pleasant Hill,51,29,60,"33,152"
CA,Foothill Farms,41,--,56,"33,121"
CA,Seaside,51,--,48,"33,025"
CA,Lawndale,81,--,59,"32,769"
CA,Oildale,44,33,48,"32,684"
CA,Wildomar,10,--,22,"32,176"
CA,Menlo Park,57,--,79,"32,026"
CA,Westmont,60,56,56,"31,853"
CA,Adelanto,12,--,31,"31,765"
CA,La Verne,40,--,39,"31,063"
CA,Fair Oaks,37,23,40,"30,912"
CA,Foster City,44,--,65,"30,567"
CA,Fallbrook,38,--,26,"30,534"
CA,Laguna Hills,40,28,41,"30,344"
CA,Saratoga,28,--,45,"29,926"
CA,Goleta,42,--,71,"29,888"
CA,El Paso de Robles (Paso Robles),40,--,31,"29,793"
CA,Banning,29,--,32,"29,603"
CA,Los Gatos,43,--,51,"29,413"
CA,Santa Paula,55,--,47,"29,321"
CA,Walnut,30,36,29,"29,172"
CA,San Pablo,70,44,51,"29,139"
CA,Los Altos,45,30,72,"28,976"
CA,Orcutt,23,--,40,"28,905"
CA,Burlingame,65,--,65,"28,806"
CA,San Carlos,45,--,41,"28,406"
CA,Atascadero,26,--,29,"28,310"
CA,Spring Valley,33,28,25,"28,205"
CA,Atwater,39,--,43,"28,168"
CA,East Palo Alto,58,--,70,"28,155"
CA,Suisun City,33,--,51,"28,111"
CA,Monterey,54,39,47,"27,810"
CA,Ridgecrest,33,--,50,"27,616"
CA,Maywood,78,43,63,"27,395"
CA,Eureka,64,--,70,"27,191"
CA,Norco,22,--,29,"27,063"
CA,Benicia,29,--,24,"26,997"
CA,Windsor,37,--,48,"26,801"
CA,Imperial Beach,67,37,62,"26,324"
CA,Paradise,20,--,28,"26,218"
CA,Desert Hot Springs,34,29,33,"25,938"
CA,Belmont,46,11,37,"25,835"
CA,Soledad,27,--,40,"25,738"
CA,South Pasadena,67,46,50,"25,619"
CA,Wasco,35,--,40,"25,545"
CA,West Whittier-Los Nietos,60,--,58,"25,540"
CA,Lemon Grove,49,39,35,"25,320"
CA,Twentynine Palms,18,--,31,"25,048"
CA,Brawley,45,--,49,"24,953"
CA,North Tustin,23,--,34,"24,917"
CA,Vineyard,14,--,33,"24,836"
CA,Corcoran,23,--,38,"24,813"
CA,Lemoore,40,--,46,"24,531"
CA,Sanger,49,--,48,"24,270"
CA,Reedley,50,--,54,"24,194"
CA,Seal Beach,41,33,60,"24,168"
CA,Hercules,25,--,26,"24,060"
CA,Lafayette,25,16,28,"23,893"
CA,Bloomington,31,--,37,"23,851"
CA,Cudahy,60,45,62,"23,805"
CA,Galt,31,--,39,"23,647"
CA,San Fernando,78,48,58,"23,645"
CA,El Cerrito,64,51,60,"23,549"
CA,San Lorenzo,56,34,56,"23,452"
CA,Loma Linda,36,31,42,"23,261"
CA,Selma,46,--,44,"23,219"
CA,Isla Vista,59,--,91,"23,096"
CA,French Valley,8,--,25,"23,067"
CA,Calabasas,22,--,15,"23,058"
CA,Ladera Ranch,27,--,26,"22,980"
CA,Valinda,49,--,48,"22,822"
CA,Lennox,74,53,58,"22,753"
CA,Laguna Beach,43,26,24,"22,723"
CA,Rosemont,40,32,57,"22,681"
CA,Riverbank,36,--,44,"22,678"
CA,Barstow,39,29,37,"22,639"
CA,West Puente Valley,53,--,51,"22,636"
CA,Temescal Valley,9,--,12,"22,535"
CA,Mira Loma,28,--,35,"21,930"
CA,Ashland,63,52,52,"21,925"
CA,Port Hueneme,58,26,60,"21,723"
CA,West Carson,57,--,53,"21,699"
CA,Millbrae,52,--,41,"21,532"
CA,Dinuba,54,--,50,"21,453"
CA,South Lake Tahoe,40,--,65,"21,403"
CA,Bay Point,35,--,49,"21,349"
CA,Duarte,45,--,48,"21,321"
CA,Rancho San Diego,22,--,18,"21,208"
CA,Blythe,22,--,37,"20,817"
CA,Yucca Valley,19,--,30,"20,700"
CA,Oakdale,50,16,53,"20,675"
CA,Lakeside,24,--,29,"20,648"
CA,Winter Gardens,30,--,19,"20,631"
CA,South San Jose Hills,37,39,40,"20,551"
CA,Patterson,41,--,41,"20,413"
CA,Granite Bay,12,--,32,"20,402"
CA,Agoura Hills,34,--,26,"20,330"
CA,Ramona,31,--,34,"20,292"
CA,Lomita,73,38,59,"20,256"
CA,La Cañada Flintridge,33,--,25,"20,246"
CA,Glen Avon,26,--,33,"20,199"
CA,South El Monte,62,--,56,"20,116"
CA,Marina,44,--,57,"19,718"
CA,La Crescenta-Montrose,53,--,29,"19,653"
CA,Hermosa Beach,87,--,70,"19,506"
CA,American Canyon,30,--,49,"19,454"
CA,Arvin,35,--,39,"19,304"
CA,Castaic,23,--,16,"19,015"
CA,Coronado,51,33,72,"18,912"
CA,Casa de Oro-Mount Helix,26,--,19,"18,762"
CA,Chowchilla,23,--,42,"18,720"
CA,Albany,82,55,90,"18,539"
CA,Mead Valley,6,--,27,"18,510"
CA,Pinole,41,--,30,"18,390"
CA,Dixon,43,--,44,"18,351"
CA,Cameron Park,19,--,22,"18,228"
CA,Rosamond,18,--,33,"18,150"
CA,Lathrop,27,--,41,"18,023"
CA,Susanville,25,--,33,"17,947"
CA,Linda,24,--,48,"17,773"
CA,Orinda,9,--,18,"17,643"
CA,Prunedale,5,--,11,"17,560"
CA,Stevenson Ranch,19,--,20,"17,557"
CA,East Hemet,21,--,38,"17,418"
CA,Arroyo Grande,41,--,41,"17,252"
CA,Arcata,47,--,64,"17,231"
CA,Rancho Mirage,16,--,34,"17,218"
CA,Live Oak,53,29,80,"17,158"
CA,Shafter,43,--,46,"16,988"
CA,Nipomo,24,--,31,"16,714"
CA,El Segundo,65,--,49,"16,654"
CA,Artesia,78,38,60,"16,522"
